city,checkin_date,checkout_date,scrape_timestamp,lead_time_days,is_weekend,hotel_name,hotel_url,hotel_id,price_net,log_price,price_original,discount_pct,taxes_and_charges,star_rating,review_score_overall,review_count,review_score_label,distance_to_center_km,neighborhood,breakfast_included,free_cancellation,is_beachfront,has_free_wifi,has_swimming_pool,has_parking,has_air_conditioning,rooms_left_warning,sustainability_level,property_type,score_cleanliness,score_staff,score_facilities,score_comfort,score_value,score_location,score_wifi,has_spa,has_fitness_center,has_restaurant,has_bar,has_airport_shuttle,has_24h_front_desk,pets_allowed,photo_count,full_address,latitude,longitude
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,InterContinental Dhaka by IHG,https://www.booking.com/hotel/bd/intercontinental-hotels-dhaka.html,intercontinental-hotels-dhaka,139.0,4.9345,139.0,0.0,43.0,5.0,8.5,212,Very Good,2.3,Dhaka,0,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"1 Minto Road, 1000 Dhaka, Bangladesh",23.74066491,90.3973446
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Radisson Blu Dhaka Water Garden,https://www.booking.com/hotel/bd/radisson-blu-water-garden-dhaka.html,radisson-blu-water-garden-dhaka,162.0,5.0876,162.0,0.0,48.0,5.0,7.6,255,Good,10.3,Dhaka,1,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Airport road, 1206 Dhaka, Bangladesh",23.81594744,90.40813029
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Hotel New Kalabagan,https://www.booking.com/hotel/bd/new-kalabagan-dhaka.html,new-kalabagan-dhaka,17.0,2.8332,17.0,0.0,,3.0,7.2,20,Good,3.9,Dhaka,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"brothers mansion House Name : 8 Brothers mansion, (1st Floor), Kalabgan Bus Stand Mirpur Rd, Dhaka, 1205 Dhaka, Bangladesh",23.74719466,90.38085906
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Hotel Rose International,https://www.booking.com/hotel/bd/rose-international.html,rose-international,9.0,2.1972,9.0,0.0,1.0,1.0,5.9,30,Standard,9.8,"Mirpur, Dhaka",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"2/A Darus Salam Rd, 1216 Dhaka, Bangladesh",23.79561407,90.35357163
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Hotel Golden Bird,https://www.booking.com/hotel/bd/khurshed-express-residential.html,khurshed-express-residential,15.0,2.7081,15.0,0.0,2.0,2.0,7.1,34,Good,16.8,"Uttara, Dhaka",0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"HOUSE-4, ROAD-12, SEC6, UTTARA, 1230 Dhaka, Bangladesh",23.87368256,90.40093558
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Central Inn City Center Dhaka,https://www.booking.com/hotel/bd/central-inn-dhaka2.html,central-inn-dhaka2,35.0,3.5553,35.0,0.0,,3.0,7.3,3,Good,1.1,Dhaka,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Rahmania International Complex 28/1/C Toyenbee Circular Road, Motijheel, 1000 Dhaka, Bangladesh",23.7312627,90.4154985
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Entire - Studio Apartment Basundhara Cheapest Deal,https://www.booking.com/hotel/bd/entire-studio-apartment-basundhara-cheapest-deal-dhaka.html,entire-studio-apartment-basundhara-cheapest-deal-dhaka,17.0,2.8332,17.0,0.0,3.0,0.0,8.0,5,Very Good,11.0,Dhaka,0,0,0,0,0,0,0,0,None,Apartment,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Block c road 2 house 1 F Maati, 1229 Dhaka, Bangladesh",23.8206138,90.42732952
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Ali International Hotel,https://www.booking.com/hotel/bd/ali-international-dhaka2.html,ali-international-dhaka2,12.0,2.4849,12.0,0.0,2.0,0.0,5.6,154,Standard,15.0,Dhaka,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Beside Airport railway station , Shohid Latif Road,Dhaka, 1230 Dhaka, Bangladesh",23.85784636,90.40700309
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Dhanmondi Lake View Hotel,https://www.booking.com/hotel/bd/lake-view-dhaka4.html,lake-view-dhaka4,21.0,3.0445,21.0,0.0,,0.0,,0,No reviews,3.9,Dhaka,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Kalabagan East Bus Stop 10 Mirpur Road, Alta Plaza, Dhanmondi R/A, Dhaka 1205, Bangladesh, 1205 Dhaka, Bangladesh",23.74758092,90.38056981
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Richmond Hotel & Suites,https://www.booking.com/hotel/bd/richmond-amp-suites.html,richmond-amp-suites,33.0,3.4965,33.0,0.0,8.0,3.0,6.6,294,Standard,15.2,"Uttara, Dhaka",1,0,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"House-02, Road-10, Sector-01, Uttara, Uttara, 1230 Dhaka, Bangladesh",23.85941802,90.4006631
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Hotel Green Garden Residential,https://www.booking.com/hotel/bd/green-garden-dhaka1.html,green-garden-dhaka1,11.0,2.3979,11.0,0.0,,0.0,,0,No reviews,3.2,Dhaka,0,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"326 N1 325/C Floor Number 02 South Jatrabari, Adjust to the Intersection, Jatrabari, 1204 Dhaka, Bangladesh",23.7091234,90.435528
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Imperial Swiss Garden Dhaka,https://www.booking.com/hotel/bd/swiss-garden.html,swiss-garden,37.0,3.6109,37.0,0.0,10.0,3.0,7.3,44,Good,7.6,"Gulshan, Dhaka (Banani)",1,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Road # 13,House # 89,Block-D,Banani, Gulshan, 1213 Dhaka, Bangladesh",23.79169661,90.40454149
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Royal Richmond Hotel,https://www.booking.com/hotel/bd/royal-richmond.html,royal-richmond,30.0,3.4012,30.0,0.0,8.0,3.0,6.0,2,Standard,16.1,"Uttara, Dhaka",1,1,0,0,0,0,0,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"House 52, Road 04, Sector 03, Uttara 10, 1230 Dhaka, Bangladesh",23.86717871,90.39798751
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Hotel D Palace,https://www.booking.com/hotel/bd/d-palace-dhaka1.html,d-palace-dhaka1,17.0,2.8332,17.0,0.0,3.0,3.0,5.9,7,Standard,14.2,Dhaka,1,1,0,0,0,0,1,0,None,Hotel,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Hajj Camp, 1230 Dhaka, Bangladesh",23.8503968,90.4120026
Dhaka,2026-10-03,2026-10-04,2026-09-03 10:45:14,29,1,Sufia House Apartment,https://www.booking.com/hotel/bd/sufia-house-modern-apartment.html,sufia-house-modern-apartment,35.0,3.5553,35.0,0.0,9.0,0.0,9.4,23,Wonderful,4.9,Dhaka,0,1,0,0,0,0,0,0,None,Apartment,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"293/A, Apt. C1, Tali Office Road, Rayer Bazar, 1209 Dhaka, Bangladesh",23.74191251,90.36508945
